"","factory_location","destination","distance_km","transport_mode","fuel_price","shipment_weight","shipment_volume","num_stops","shipment_urgency","weather_conditions","carrier_reliability","order_volume","product_type","packaging_type","special_handling","customs_clearance","supply_chain_disruption","seasonality","temp_control","delivery_lead_time","id"
"20","Dallas","Nashville",197,"Road",0.78,6568,76.7,0,"Medium","Clear",70,17,"Automotive","Fragile","Yes","Yes","Yes","Off-Peak","Yes",5,20
"21","Jacksonville","Denver",500,"Road",0.82,5419,19.6,0,"Medium","Clear",86.7,874,"Electronics","Refrigerated","Yes","No","No","Off-Peak","No",NA,21
"22","Dallas","Cincinnati",343,"Road",1.56,1489,37.9,2,"High","Rain",86.2,797,"Electronics","Fragile","Yes","No","Yes","Off-Peak","No",5.4,22
"23","Dallas","Portland",876,"Road",0.89,11453,75.9,2,"Medium","Clear",91.8,683,"Electronics","Refrigerated","No","No","No","Off-Peak","No",NA,23
"24","Fort Worth","Boston",1193,"Air",0.84,183,9.7,3,"Low","Clear",80.1,13,"Food","Fragile","No","No","Yes","Peak","No",6,24
"25","Chicago","Nashville",1921,"Road",1.39,5690,66,5,"Medium","Rain",76.5,362,"Automotive","Standard","No","No","No","Peak","No",5.2,25
"26","San Diego","Cleveland",2136,"Road",0.72,5674,71.8,1,"Medium","Clear",76.1,790,"Clothing","Oversized","No","No","No","Off-Peak","No",3.9,26
"27","San Jose","Portland",1012,"Rail",0.58,16383,86,3,"Medium","Clear",82.2,405,"Furniture","Fragile","No","No","No","Off-Peak","No",2.3,27
"28","San Antonio","Cleveland",2897,"Rail",0.52,2435,21.8,0,"Medium","Clear",71.4,543,"Electronics","Fragile","No","No","No","Off-Peak","No",4.3,28
"29","San Jose","Portland",2105,"Road",1.71,5317,28.3,1,"Low","Rain",92.3,860,"Electronics","Oversized","No","No","No","Off-Peak","No",4.5,29
"30","Dallas","Seattle",525,"Road",1.7,8841,83.7,1,"Medium","Clear",97.1,577,"Automotive","Standard","Yes","No","No","Off-Peak","No",1,30
"31","Columbus","Nashville",1139,"Road",0.52,19172,28.8,1,"Low","Clear",95.5,166,"Food","Oversized","No","No","No","Off-Peak","No",3.2,31
"32","Chicago","Seattle",942,"Road",1.39,6421,84.9,1,"Low","Clear",78.7,520,"Food","Standard","No","No","No","Peak","No",2,32
"33","Houston","Seattle",1401,"Road",0.96,15728,62.3,2,"Low","Rain",89,728,"Furniture","Refrigerated","No","Yes","No","Off-Peak","No",6.3,33
"34","Columbus","Boston",2479,"Road",1.41,2717,25.7,1,"Low","Clear",75.3,787,"Electronics","Oversized","Yes","No","No","Off-Peak","No",5.6,34
"35","New York","Detroit",736,"Road",0.82,9941,62.4,4,"Medium","Snow",92.8,183,"Pharmaceutical","Refrigerated","Yes","No","No","Off-Peak","No",3.8,35
"36","Austin","Indianapolis",1237,"Road",1.92,10552,6.5,1,"Medium","Clear",94.7,991,"Automotive","Refrigerated","No","No","No","Peak","No",2.1,36
"37","San Antonio","Orlando",2916,"Road",0.66,17734,91.6,1,"Low","Rain",94,766,"Electronics","Fragile","Yes","No","No","Off-Peak","No",6.4,37
"38","Phoenix","Nashville",417,"Road",0.68,7298,88.7,1,"Low","Clear",93.1,648,"Electronics","Standard","Yes","No","No","Off-Peak","No",1,38
"39","Jacksonville","Miami",1909,"Rail",0.71,9379,68.9,1,"Low","Rain",91.9,897,"Food","Oversized","No","No","No","Off-Peak","No",4.7,39
"40","Charlotte","Portland",2126,"Road",0.94,8858,95.4,2,"Low","Snow",89,962,"Electronics","Fragile","No","No","No","Off-Peak","No",6.8,40
"41","San Jose","Indianapolis",1794,"Road",1.4,14296,56.2,3,"High","Clear",82.3,338,"Pharmaceutical","Fragile","Yes","Yes","No","Off-Peak","No",5.1,41
"42","Fort Worth","Detroit",2990,"Rail",0.81,1119,78.5,1,"Low","Clear",82.4,844,"Automotive","Refrigerated","No","Yes","No","Off-Peak","No",6.2,42
"43","San Antonio","Miami",184,"Road",1.18,14056,80.2,3,"Medium","Clear",83,679,"Clothing","Standard","No","Yes",NA,"Off-Peak","No",3,43
"44","Dallas","Orlando",2971,"Road",1.18,13303,27.2,1,"Medium","Clear",82,434,"Pharmaceutical","Refrigerated","Yes","Yes","No","Off-Peak","No",7,44
"45","Dallas","Boston",2249,"Road",1.07,13311,30,0,"Low","Rain",92,24,"Furniture","Fragile","No","No","No","Off-Peak","No",5,45
"46","San Jose","Orlando",1338,"Road",1.98,10048,23.4,1,"Low","Clear",89,224,"Pharmaceutical","Fragile","No","Yes","Yes","Peak","No",8.4,46
"47","San Antonio","Seattle",501,"Road",0.52,5579,86.4,1,"Low","Clear",79.7,631,"Electronics","Standard","No","No","Yes","Peak","No",5.3,47
"48","Austin","Cincinnati",1374,"Road",1.8,7526,72.7,0,"Low","Clear",80.2,559,"Pharmaceutical","Fragile","No","No","No","Peak","No",2.9,48
"49","Jacksonville","Denver",600,"Road",0.64,2199,16.2,1,"Low","Clear",83.4,627,"Automotive","Fragile","No","No","Yes","Off-Peak","No",3.9,49
"50","Phoenix","Detroit",1308,"Rail",0.77,5174,85.4,1,"High","Rain",78.9,907,"Electronics","Standard","No","No","No","Off-Peak","No",2.7,50
"51","San Antonio","Denver",2471,"Road",1.17,1022,63.6,2,NA,"Snow",83.9,668,"Automotive","Fragile","No","No","Yes","Off-Peak","No",7.4,51
"52","Phoenix","Cincinnati",199,"Road",1.59,9445,56,2,"Medium","Clear",97.9,371,"Automotive","Fragile","Yes","No","No","Off-Peak","No",1.4,52
"53","Austin","Sacramento",1010,"Air",0.78,6549,5.3,4,"Low","Clear",71.7,889,"Food","Fragile","No","No","No","Off-Peak","Yes",3.3,53
"54",NA,"Seattle",2535,"Road",NA,4279,28.7,1,"Low","Rain",74.3,492,"Food","Fragile","No","Yes","No","Off-Peak","No",7.7,54
"55","Dallas","Las Vegas",169,"Rail",0.82,15077,60.1,0,"Medium","Clear",88.9,178,"Clothing","Standard","No","No","Yes","Off-Peak","No",3,55
"56","Los Angeles","Indianapolis",2386,"Rail",0.75,4953,95.7,1,"High","Clear",74.7,292,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",3.9,56
"57","Fort Worth","Boston",2887,"Road",1.78,8170,6.8,1,"Low","Clear",91.5,920,"Pharmaceutical","Fragile","No","No","No","Peak","No",6.7,57
"58","Phoenix","Sacramento",2000,"Rail",1.61,14098,46.3,1,"Low","Clear",74.5,342,"Furniture","Standard","Yes","Yes","No","Off-Peak","No",6.4,58
"59","San Diego","Portland",76,"Road",1.35,2377,41.4,0,"Low","Clear",84.3,177,"Clothing","Standard","No","No","No","Off-Peak","No",1,59
"60","Jacksonville","Boston",1424,"Road",1.78,2782,51.4,2,"Medium","Rain",78.4,226,"Clothing","Fragile","No","No","No","Off-Peak","Yes",2.9,60
"61","Charlotte","Indianapolis",2164,NA,0.72,19691,4.9,0,"Medium","Clear",98.9,61,"Clothing","Standard","No","No","No","Off-Peak","No",4.3,61
"62","Fort Worth","Sacramento",133,"Road",1.07,19538,86.4,1,"Medium","Clear",91.5,262,"Automotive","Oversized","No","Yes","No","Off-Peak","Yes",2.5,62
"63","Los Angeles","Kansas City",2544,"Road",0.98,15197,26.9,1,"Low","Clear",82.9,986,"Clothing","Oversized","No","No","No","Off-Peak","No",5.8,63
"64","New York","Nashville",12049,"Road",0.54,698,46.6,1,"Low","Clear",81.4,632,"Electronics","Standard","Yes","No","No","Peak","No",4.6,64
"65","Dallas","Portland",829,"Road",1.08,19487,22.7,2,"Medium","Clear",91.6,795,"Pharmaceutical","Oversized","No","Yes","No","Peak","No",4.2,65
"66","Austin","Portland",2250,"Rail",1.56,15229,93.7,3,"Low","Clear",77.5,34,"Automotive","Refrigerated","No","No","No","Off-Peak","No",5.1,66
"67","Dallas","Nashville",2031,"Road",0.87,17760,71.3,3,"Medium","Clear",91.1,780,"Furniture","Oversized","No","No","No","Off-Peak","No",4.8,67
"68","Philadelphia","Portland",558,"Road",1.47,4517,40.5,0,"Medium","Clear",81,981,"Furniture","Standard","No","Yes","No","Peak","Yes",3.4,68
"69","Phoenix","Portland",2026,"Road",0.75,5482,28.7,0,"Low","Clear",93.5,739,"Automotive","Standard","No","No","No","Off-Peak","No",3.9,69
"70","Charlotte","Detroit",2795,"Air",1.66,12184,70.6,2,"Low","Clear",90.1,NA,"Clothing","Standard","No","Yes","No","Peak","No",6,70
"71","Dallas","Detroit",2560,"Air",1.22,6870,22.9,2,"Low","Rain",89.9,423,"Furniture","Oversized","No","Yes","No","Off-Peak","No",6.5,71
"72","Charlotte","Miami",2354,"Rail",0.59,15164,30.1,0,"Low","Clear",78.7,728,"Furniture","Refrigerated","No","No","Yes","Peak","No",6.4,72
"73","San Jose","Atlanta",2073,"Road",1.66,1589,89,0,"Low","Clear",82.7,845,"Electronics","Standard","No","No","No","Off-Peak","No",4.4,73
"74","Jacksonville","Sacramento",1795,"Road",1.82,17824,50.4,3,"Medium","Rain",96,669,"Furniture","Refrigerated","Yes","No","No","Off-Peak","Yes",4.9,74
"75","Charlotte","Kansas City",1240,"Rail",1.38,15433,95.3,0,"Low","Clear",91.4,925,"Furniture","Standard","No","No","No","Off-Peak","No",2.7,75
"76","Houston",NA,429,"Road",1.41,17666,77.8,0,"Medium","Clear",79.2,685,"Pharmaceutical","Oversized","Yes","No","No","Off-Peak","No",1,76
"77","Columbus","Miami",2469,"Road",1.13,18961,86.4,0,"Medium","Rain",88,69,"Furniture","Oversized","No","Yes","No","Off-Peak","No",6.1,77
"78","Philadelphia","Las Vegas",2164,"Road",0.57,6548,57.9,1,"Low","Rain",81.3,644,"Clothing","Refrigerated","No","No","No","Peak","No",4.7,78
"79","Austin","Orlando",2376,"Rail",1.48,3655,7.7,2,"High","Rain",87.9,135,"Clothing","Refrigerated","No","Yes","No","Off-Peak","No",5.5,79
"80","San Diego","Cleveland",104,"Road",1.25,3082,52.3,4,"Medium","Clear",88.8,908,"Pharmaceutical","Standard","No","No","No","Off-Peak","No",1.5,80
"81","Philadelphia","Cleveland",565,"Road",1.68,2381,90,0,"Low","Clear",92.9,243,"Automotive","Standard","Yes","No","No","Peak","No",1,81
"82","Philadelphia","Detroit",1816,"Road",1.32,9478,4,3,"Low","Clear",76,268,"Clothing","Oversized","No","No","No","Off-Peak","No",5.3,82
"83","San Antonio","Sacramento",288,"Road",1.17,16245,11.9,1,"Medium","Rain",93.4,703,"Furniture","Standard","No","No",NA,"Off-Peak","No",1.7,83
"84","Charlotte","Detroit",2137,"Road",1.76,17348,63.5,0,"Low","Clear",76.5,975,"Electronics","Oversized","No","Yes","Yes","Off-Peak","No",9.6,84
"85","New York","Portland",1713,"Road",1.51,1388,47.7,2,"Low","Clear",84.9,19,"Furniture","Refrigerated","No","Yes","No","Off-Peak","Yes",6.7,85
"86","Philadelphia","Portland",884,"Road",0.58,14666,99,0,"Low","Clear",90.4,594,"Clothing","Refrigerated","No","Yes","No","Off-Peak","No",3.5,86
"87","Los Angeles","Miami",1207,"Road",0.69,19456,77.1,2,"Low","Clear",80.5,443,"Electronics","Refrigerated","No","No","No","Off-Peak","No",4.6,87
"88","New York","Indianapolis",2035,"Road",1.74,6291,77.6,0,"Low","Clear",71.2,343,"Electronics","Fragile","No","Yes","No","Off-Peak","Yes",6.1,88
"89","Los Angeles","Cleveland",528,"Air",1.1,14356,42.1,0,"Medium","Clear",97.2,83,"Pharmaceutical","Refrigerated","No","Yes","No","Off-Peak","No",2.8,89
"90","Houston","Orlando",370,"Road",1.26,11945,99.7,1,"Medium","Clear",72.8,914,"Pharmaceutical","Fragile","No",NA,"No","Off-Peak","No",1,90
"91","Fort Worth","Detroit",1624,"Rail",1.01,959,44.6,1,"Low","Clear",85.6,371,"Food","Refrigerated","No","No","Yes","Off-Peak","No",6.1,91
"92","Phoenix","Cincinnati",354,NA,1.44,9038,96.8,3,"Low","Rain",94.8,582,"Clothing","Oversized","No","No","No","Off-Peak","No",2.6,92
"93","Philadelphia","Boston",326,"Air",1.37,12810,55.4,3,"Low","Rain",80.6,63,"Clothing","Fragile","No","No","No","Off-Peak","No",1.8,93
"94","Charlotte","Detroit",1938,"Road",0.83,16033,75.5,0,"Low","Clear",86.5,148,"Pharmaceutical","Standard","No","No","No","Off-Peak","No",4,94
"95","Chicago","Las Vegas",1714,"Rail",1.46,10883,66.9,1,"Low","Rain",75.2,880,"Automotive","Oversized","No","No","No","Off-Peak","No",4.2,95
"96","Dallas","Miami",951,NA,1.04,17648,83.2,2,"Low","Clear",78,15,"Automotive","Refrigerated","No","Yes","No","Off-Peak","No",4.3,96
"97","Houston","Denver",835,"Air",1.18,235,66.3,1,"Low","Clear",88.2,397,"Food","Oversized","No","No","No","Peak","No",1.9,97
"98","Philadelphia","Boston",1916,"Road",1.1,8992,1.6,NA,"Low","Clear",89,485,"Furniture","Oversized","Yes","Yes","No","Off-Peak","No",6.1,98
"99","Dallas","Indianapolis",2501,"Rail",0.83,9718,5.2,3,"Low","Clear",89.5,429,"Furniture","Fragile","No","Yes","Yes","Off-Peak","No",11.3,99
"100","Columbus","Atlanta",201,"Road",0.87,15886,92.6,0,"Medium","Clear",97.4,838,"Pharmaceutical","Fragile","Yes","No","No","Off-Peak","No",1,100
"101","Dallas","Portland",2977,"Road",0.76,5642,43.6,1,"Medium","Clear",73.8,933,"Electronics","Fragile","No","Yes","No","Peak","No",8.2,101
"102","San Antonio","Seattle",115,"Teleportation",1.15,11852,63.8,3,"Low","Clear",93.6,135,"Furniture","Oversized","No","No","No","Peak","No",3.1,102
"103","Chicago","Detroit",581,"Road",1.41,3830,61.7,1,"Low","Rain",72.7,202,"Electronics","Fragile","Yes","No","No","Off-Peak","No",1.8,103
"104","San Diego","Indianapolis",1020,"Road",1.11,16165,95.4,1,"Low","Clear",88.2,15,"Automotive","Oversized","No","No","No","Peak","No",2.2,104
"105","Columbus","Detroit",2572,"Road",1.87,11927,72.5,1,"Medium","Clear",87.2,70,"Clothing","Standard","Yes","Yes","No","Peak","No",6.4,105
"106","Jacksonville","Denver",594,"Road",0.92,5520,21.9,1,"Low","Clear",89,841,"Clothing","Refrigerated","No","No","No","Off-Peak","No",1.2,106
"107","Charlotte","Detroit",2396,"Road",0.82,16071,38.2,1,"Low","Clear",76.2,275,"Electronics","Fragile","Yes","Yes","No","Off-Peak","No",6.9,107
"108","Dallas","Cleveland",2584,"Road",1.33,12138,66.7,0,"Low","Clear",84.2,329,"Furniture","Oversized","Yes","No","No","Peak","No",5.3,108
"109","Columbus","Las Vegas",1442,"Road",1.03,19163,24.9,2,"Low","Rain",97.3,264,"Automotive","Standard","No","No","No","Off-Peak","No",3.8,109
"110","Columbus","Seattle",1962,"Road",1.91,3654,58.1,1,"High","Clear",74.9,65,"Electronics","Refrigerated","No","No","No","Off-Peak","No",3.1,110
"111","Chicago","Miami",1009,"Rail",1.44,184,9.5,2,"Medium","Clear",74,641,"Automotive","Fragile","No","No","No","Off-Peak","No",1.4,111
"112","Columbus","Orlando",1425,"Road",1.16,7498,93.9,2,"Low","Clear",92.5,500,"Electronics","Standard","Yes","No","No","Off-Peak","No",2.5,112
"113","Fort Worth","Boston",2830,"Rail",0.93,15452,24.1,0,"Low","Rain",71.8,382,"Food","Standard","No","No","No","Peak","Yes",4.6,113
"114","San Antonio","Atlanta",774,"Road",0.55,11505,29.3,0,"Low","Clear",83.5,268,"Furniture","Oversized","No","No","No","Peak","No",1.6,114
"115",NA,"Atlanta",116,"Road",1.32,3492,45.7,1,"Low","Clear",84.2,88,"Furniture","Standard","No","No","No","Peak","No",1,115
"116","San Antonio","Nashville",2903,"Road",0.98,1879,46.9,1,"Medium","Clear",72.4,291,"Clothing","Oversized","No","No","Yes","Off-Peak","No",NA,116
"117","Philadelphia","Orlando",817,"Road",1.22,17537,27,1,"Low","Rain",90.4,433,"Clothing","Oversized","No","No","No","Off-Peak","No",2.7,117
"118","San Jose","Denver",1980,"Road",1.71,2997,21.1,0,"Medium","Clear",78.2,58,"Furniture","Fragile","Yes","No","Yes","Peak","No",6.9,118
"119","Charlotte","Cleveland",272,"Air",0.83,12742,NA,1,"Low","Clear",86.9,727,"Food","Refrigerated","Yes","Yes","No","Off-Peak","No",3,119
"120","Phoenix","Boston",2909,"Air",0.63,8980,42.8,0,"Low","Clear",80.5,910,"Clothing","Oversized","No","No","No","Off-Peak","No",4.4,120
"121","Phoenix","Boston",2760,"Rail",1.7,18523,64.7,1,"Medium","Clear",83.6,99,"Clothing","Refrigerated","No","No","No","Off-Peak","No",5.5,121
"122","San Diego","Las Vegas",9357,"Rail",0.76,12277,63.3,0,"High","Clear",92.9,334,"Automotive","Refrigerated","No","No","No","Off-Peak","No",2.9,122
"123","Chicago","Cleveland",1302,"Air",1.7,1474,6.3,0,"Low","Rain",89.4,843,"Clothing","Refrigerated","No","No","No","Peak","Yes",1.7,123
"124","San Jose","Kansas City",2354,"Road",0.56,10384,48.4,1,"Low","Rain",96.1,693,"Clothing","Fragile","No","No","No","Off-Peak","No",6.2,124
"125","Los Angeles","Denver",935,"Road",1.77,13822,62.8,2,"Low","Rain",76.6,763,"Electronics","Standard","Yes","No","No","Off-Peak","No",3.2,125
"126","San Jose","Nashville",904,"Rail",1.73,9750,33.4,1,"Medium","Clear",74.2,919,"Furniture","Fragile","No","No","No","Off-Peak","Yes",1.5,126
"127","Jacksonville","Portland",2998,"Road",1.85,12360,70.9,1,"Low","Clear",87.7,934,"Electronics","Oversized","No","No","No","Off-Peak","Yes",7,127
"128","Los Angeles","Orlando",2962,"Road",1.06,9635,90.1,0,"Medium","Clear",91.8,111,"Automotive","Oversized","No","Yes","No","Off-Peak","Yes",7.1,128
"129","San Jose","Sacramento",1466,"Road",0.96,17068,40.3,0,"Low","Clear",76.1,378,"Furniture","Fragile","No","No","No","Peak","No",3.5,129
"130","Philadelphia","Boston",2299,"Road",1.88,5426,39.9,2,"Low","Rain",87.9,409,"Furniture","Standard","No","Yes","No","Off-Peak","No",7.8,130
"131","Charlotte","Kansas City",1019,"Air",0.98,8231,49.5,1,"Low","Storm",76.3,667,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",2.7,131
"132","Jacksonville","Kansas City",747,"Road",1.89,16012,6.2,2,"Low","Clear",77.4,845,"Food","Fragile","No","No","No","Off-Peak","No",2.8,132
"133","Houston","Sacramento",1873,"Road",1.4,17486,33.9,0,"Medium","Clear",86.3,199,"Automotive","Oversized","No","Yes","No","Peak","No",5.4,133
"134","Columbus","Las Vegas",1054,"Air",1.37,10824,19.9,1,"High","Rain",77,54,"Electronics","Fragile","No","No","No","Peak","No",1.3,134
"135","New York","Atlanta",222,"Rail",1.6,NA,39.1,1,"High","Clear",89.8,405,"Electronics","Fragile","No","Yes","No","Off-Peak","No",2.7,135
"136","Columbus","Orlando",2947,"Road",1.1,11608,44.3,0,"Low","Snow",73.3,881,"Pharmaceutical","Refrigerated","No","No","Yes","Off-Peak","No",9.3,136
"137","Columbus","Kansas City",2080,"Road",1.05,6744,16.5,2,"Medium","Snow",75.8,155,"Automotive","Refrigerated","No","Yes","No","Peak","No",7.1,137
"138","Philadelphia","Denver",2593,"Road",1.15,3254,8.1,0,"Low","Clear",94.3,717,"Pharmaceutical","Fragile","No","No","No","Off-Peak","No",5.7,138
"139","Chicago","Kansas City",1412,"Road",1,10251,66.8,2,"Low","Clear",71.8,860,"Pharmaceutical","Standard","No","No","No","Peak","Yes",4.2,139
"140","San Diego","Kansas City",422,"Road",1.55,826,42.5,1,"Medium","Rain",90.5,135,"Pharmaceutical","Fragile","No","Yes","No","Off-Peak","No",3.5,140
"141","Columbus","Kansas City",2057,"Road",0.9,2935,11.9,1,"Medium","Storm",74.6,83,"Clothing","Fragile","No","No","No","Off-Peak","Yes",5.6,141
"142","Chicago","Boston",109,"Air",1.78,3521,46.8,1,"Low","Clear",74.5,18,"Food","Standard","Yes","No","No","Off-Peak","No",1.4,142
"143","Columbus","Portland",531,"Air",1.9,6547,28.5,2,"High","Clear",70.7,733,"Automotive","Refrigerated","No","No","Yes","Peak","No",2.7,143
"144","Charlotte","Denver",2693,"Road",1.2,7136,10.2,1,"Low","Clear",80.8,73,"Clothing","Standard","No","Yes","No","Off-Peak","No",8.1,144
"145","San Diego","Atlanta",502,"Road",0.51,17343,18.9,1,"Low","Clear",86.5,255,"Electronics","Oversized","No","Yes","No","Off-Peak","No",3.4,145
"146","New York","Detroit",813,"Road",1.91,7193,52.9,1,"Medium","Clear",74.5,504,"Pharmaceutical","Fragile","No","Yes","No","Off-Peak","No",2.9,146
"147","San Antonio","Kansas City",770,"Road",1.15,NA,20,0,"Medium","Clear",91.6,156,"Furniture","Refrigerated","No","No","No","Off-Peak","Yes",1,147
"148","Austin","Portland",970,"Road",1.75,9700,52,2,"Low","Clear",86.3,485,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",2,148
"149","San Antonio","Sacramento",703,"Air",1.27,17362,36.3,2,"Medium","Rain",98.9,929,"Electronics","Oversized","No","No","No","Peak","No",1.9,149
"150","Fort Worth","Sacramento",140,"Road",1.22,6421,82.8,0,"Low","Clear",98.4,19,"Food","Standard","No","No","No","Off-Peak","No",1,150
"151","Charlotte","Detroit",2714,"Air",0.72,6776,32.1,2,"Low","Storm",75.6,547,"Electronics","Refrigerated","No","No","No","Off-Peak","No",5.6,151
"152","San Antonio","Indianapolis",2880,"Rail",0.59,3312,52.6,2,"High","Clear",84.6,956,"Automotive","Fragile","No","No","No","Off-Peak","No",4.1,152
"153","San Jose","Las Vegas",2831,"Road",1.48,12536,25,1,"Low","Clear",79.5,634,"Automotive","Refrigerated","No","No","No","Off-Peak","No",5.7,153
"154","Philadelphia","Detroit",1387,"Road",1.06,3750,33.2,1,"Low","Storm",94.8,564,"Furniture","Refrigerated","Yes","No","No","Off-Peak","No",4.2,154
"155","Columbus","Cincinnati",1341,"Road",0.54,10831,40.6,0,"Medium","Rain",83.7,581,"Pharmaceutical","Oversized","No","No","No","Peak","No",3.7,155
"156","Charlotte","Portland",198,"Road",0.61,4004,65.4,1,"Medium","Clear",99.1,91,"Furniture","Standard","No","No","No","Peak","No",1,156
"157","San Antonio","Indianapolis",1111,"Road",1.75,2170,6.6,1,"Low","Clear",87.8,746,"Pharmaceutical","Refrigerated","No","No","No","Peak","No",4.1,157
"158","Austin","Cincinnati",2695,"Road",1.6,6672,70.8,1,"Medium","Clear",99.7,140,"Pharmaceutical","Standard","No","Yes","No","Off-Peak","No",7,158
"159","San Jose","Sacramento",1145,"Road",0.57,12071,54.9,2,"Low","Clear",76.4,931,"Furniture","Standard","No","No","No","Off-Peak","No",3.9,159
"160","Phoenix","Nashville",1535,"Road",1.59,13839,34.6,2,"Low","Clear",72.8,798,"Food","Standard","Yes","No","No","Off-Peak","No",3.5,160
"161","Philadelphia","Miami",1606,"Air",0.52,4177,73.9,1,"Low","Clear",94.7,529,"Automotive","Refrigerated","Yes","No","No","Off-Peak","No",2,161
"162","San Diego","Las Vegas",552,"Road",1.42,8359,27.4,0,"High","Snow",78.5,328,"Electronics","Fragile","No","No","No","Peak","No",1.2,162
"163","Phoenix","Sacramento",1639,"Air",0.83,2974,10.9,2,"Medium","Clear",80.6,890,"Electronics","Oversized","No","Yes","No","Peak","Yes",5.4,163
"164","San Antonio","Cleveland",376,"Road",1.43,4230,38,0,"Low","Clear",89.9,923,"Furniture","Fragile","No","No","No","Off-Peak","No",1,164
"165","Austin","Las Vegas",1862,"Air",1.35,15342,8.8,3,"Low","Snow",95.1,19,"Furniture","Fragile","No","No","No","Off-Peak","No",5.2,165
"166","Houston","Cleveland",1658,"Road",1.26,9684,23.4,0,"Low","Rain",90.8,167,"Automotive","Oversized","No","Yes","Yes","Off-Peak","Yes",8.6,166
"167","Jacksonville","Denver",722,"Road",0.89,4866,98.7,1,"Low","Clear",71.5,738,"Pharmaceutical","Refrigerated","No","Yes","No",NA,"No",4.4,167
"168","Columbus","Orlando",2709,"Road",1.04,15948,12.7,2,"Low","Clear",84.8,680,"Food","Fragile","No","Yes","Yes","Off-Peak","No",11.2,168
"169","Jacksonville","Orlando",636,"Road",0.93,8910,59.9,2,"Low","Clear",83.1,667,"Clothing","Standard","No","No","No","Off-Peak","No",2.7,169
"170","Fort Worth","Indianapolis",1294,"Road",0.79,3482,69.5,0,"Medium","Clear",97.1,862,"Electronics","Refrigerated","No","No","Yes","Off-Peak","No",5.5,170
"171","Chicago","Cleveland",2659,"Road",1.45,3385,52.6,1,"Low","Clear",89.1,576,"Automotive","Fragile","No","No","No","Off-Peak","No",6,171
